pattern	singularPattern	type	nType	vType	isBrokenPlural	hasBrokenPlural	hasFem	subOf	examples	comment
pattern:fulal	singularPattern:ful~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:درة: درر	comment:addedFromCorpus
pattern:faEAlil	singularPattern:fuEolul	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:بلبل: بلابل	comment:addedFromCorpus
pattern:mafAEil	singularPattern:mifoEal~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مرزبة: مرازب	comment:addedFromCorpus
pattern:>afoyAl	singularPattern:fiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:فيل: أفيال	comment:addedFromCorpus
pattern:faEAlilap	singularPattern:faEolaliy~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:صقلبي: صقالبة	comment:addedFromCorpus
pattern:fawAEiyl	singularPattern:fAEuwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:ناصور: نواصير	comment:addedFromCorpus
pattern:fulal	singularPattern:ful~aY	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:جلى: جلل	comment:addedFromCorpus
pattern:fuwal	singularPattern:fuwlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:سورة: سور	comment:addedFromCorpus
pattern:faEAlil	singularPattern:fiEolil	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:خنصر: خناصر	comment:addedFromCorpus
pattern:>afAEiy~	singularPattern:>ufoEiy~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:أضحية: أضاحي	comment:addedFromCorpus
pattern:faEAliyl	singularPattern:faEoluwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:فرفور: فرافير	comment:addedFromCorpus
pattern:faEAliyl	singularPattern:fiyEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:دينار: دنانير	comment:addedFromCorpus
pattern:fawAEiyl	singularPattern:faE~uwlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:فزورة: فوازير	comment:addedFromCorpus
pattern:faE~Alap	singularPattern:faE~Al	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:قناص: قناصة	comment:addedFromCorpus
pattern:faEAliyl	singularPattern:faE~Al	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:عقار: عقاقير	comment:addedFromCorpus
pattern:falAEil	singularPattern:fulaEolAp	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:سلحفاة: سلاحف	comment:addedFromCorpus
pattern:faEA}il	singularPattern:fuEAlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:لفافة: لفائف	comment:addedFromCorpus
pattern:faEAliyl	singularPattern:faEoluwlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:هلهولة: هلاهيل	comment:addedFromCorpus
pattern:fiyal	singularPattern:fiylap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:سيرة: سير	comment:addedFromCorpus
pattern:mafAEil	singularPattern:mifoEalap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مكنسة: مكانس	comment:addedFromCorpus
pattern:mafAEiyl	singularPattern:mifoEalap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مجرفة‫:‬ مجاريف	comment:addedFromCorpus
pattern:faEAEil	singularPattern:fuE~al	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:سلم: سلالم	comment:addedFromCorpus
pattern:fuEolaliy~ap	singularPattern:fuEolaliy~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:كمسري: كمسرية	comment:addedFromCorpus
pattern:fuEolAliy~ap	singularPattern:fuEolAliy~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:كمسري: كمسرية	comment:addedFromCorpus
pattern:fuwEolAliy~ap	singularPattern:fuwEolAliy~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:كمسري: كمسرية	comment:addedFromCorpus
pattern:faEAlilap	singularPattern:faEoluwliy~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:سلجوقي: سلاجقة	comment:addedFromCorpus
pattern:faEAliyl	singularPattern:faE~Alap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:زمارة: رمامير	comment:addedFromCorpus
pattern:faEAliyl	singularPattern:fuE~Alap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:زمارة: رمامير	comment:addedFromCorpus
pattern:>afAEilap	singularPattern:<ifoEAliy~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:إسكافي: أساكفة	comment:addedFromCorpus
pattern:fuEaE	singularPattern:faE~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:شقة: شقق	comment:addedFromCorpus
pattern:faEA}il	singularPattern:faE~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:ضرة: ضرائر	comment:addedFromCorpus
pattern:faEAliyl	singularPattern:fuEolAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:كرباج: كرابيج	comment:addedFromCorpus
pattern:faEAyil	singularPattern:fiyEAlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:سيجارة: سجاير	comment:addedFromCorpus
pattern:faEA}il	singularPattern:fiyEAlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:سيجارة: سجائر	comment:addedFromCorpus
pattern:fawAE~	singularPattern:fAE~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:دابة: دواب	comment:addedFromCorpus
pattern:faEAliy~	singularPattern:fuEoliy~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:كرسي: كراسي	comment:addedFromCorpus
