word	root	stem	stem
الضجة	ضجج	ضجج	ضجج
ملتحمون	لحم	لحم	لحم
تعيينات	عين	عين	عين
سيرسلونكم	رسل	رسل	رسل
واستبدلته	بدل	بدل	بدل
وزيرة	وزر	وزر	وزر
سيتحولون	حول	حول	حول
مراجعون	رجع	رجع	رجع
اتخاذ	ءخذ	أخذ	أخذ
مكتوب	كتب	كتب	كتب
ممحو	محو	محا	محا
مبرهن	برهن	برهن	برهن
معاني	عني	عني	عني
باستعمال	عمل	عمل	عمل
وليد	ولد	ولد	ولد
المجون	مجن	مجن	مجن
الخطابية	خطب	خطب	خطب
الارتباط	ربط	ربط	ربط
والمزرعتان	زرع	زرع	زرع
بالتنقيب	نقب	نقب	نقب
بالإعلانات	علن	علن	علن
قسمتهن	قسم	قسم	قسم
البرنامج	برمج	برمج	برمج
أكتب	كتب	كتب	كتب
اشربن	شرب	شرب	شرب
المعتقدة	عقد	عقد	عقد
المنقبون	نقب	نقب	نقب
المتجاوزين	جوز	جوز	جوز
المحافظة	حفظ	حفظ	حفظ
عرفتا	عرف	عرف	عرف
متملك	ملك	ملك	ملك
كتبن	كتب	كتب	كتب
ويستخدموا	خدم	خدم	خدم
الدمية	دمي	دمي	دمي
تحزب	حزب	حزب	حزب
العديدين	عدد	عدد	عدد
الشلة	شلل	شلل	شلل
والمسافران	سفر	سفر	سفر
يطلبان	طلب	طلب	طلب
إستخدامهم	خدم	خدم	خدم
يسجدان	سجد	سجد	سجد
الدفاعية	دفع	دفع	دفع
بالإمكانات	مكن	مكن	مكن
والمباني	بني	بني	بني
غباوة	غبي	غبي	غبي
المحاولات	حول	حاول	حاول
المنتجع	نجع	نجع	نجع
زائرة	زور	زور	زور
توحيد	وحد	وحد	وحد
بالسابعة	سبع	سبع	سبع
المضامين	ضمن	ضمن	ضمن
المشوّشة	شوش	شوش	شوش
التصويت	صوت	صوت	صوت
والمجاهدين	جهد	جهد	جهد
إنكسارين	كسر	كسر	كسر
الإعلامي	علم	علم	علم
تمرينات	مرن	مرن	مرن
مفاتيح	فتح	فتح	فتح
دوال	دول	دال	دال
أنيقات	نقي	نقي	نقي
يتركن	ترك	ترك	ترك
عراقيل	عرقل	عرقل	عرقل
المواضيع	وضع	وضع	وضع
سيلعبون	لعب	لعب	لعب
زرن	زور	زار	زار
تشكيلاته	شكل	شكل	شكل
محروم	حرم	حرم	حرم
صائم	صوم	صوم	صوم
المسابقة	سبق	سابق	سابق
مجيد	مجد	مجد	مجد
رسالة	رسل	رسل	رسل
بعثرت	بعثر	بعثر	بعثر
والعارفون	عرف	عرف	عرف
الساسة	سود	سود	سود
المستهلك	هلك	هلك	هلك
اخطاء	خطء	خطأ	خطأ
ففعلنا	فعل	فعل	فعل
نخلع	خلع	خلع	خلع
تذأب	ذءب	ذأب	ذأب
عارف	عرف	عرف	عرف
فيستحيل	حول	حول	حول
المستحيل	حيل	حيل	حيل
إنقسمن	قسم	قسم	قسم
يجادل	جدل	جادل	جادل
يتأخران	ءخر	أخر	أخر
التصحيحات	صحح	صحح	صحح
الإرهاب	رهب	رهب	رهب
سيدلون	دل	دل	دل
ستدلهن	دل	دل	دل
فيخفي	خفي	خفي	خفي
سجدن	سجد	سجد	سجد
لطمأنينة	طمن	طمن	طمن
والمنتجات	نتج	نتج	نتج
المفتشات	فتش	فتش	فتش
مؤونة	مؤن	مؤن	مؤن
حفرا	حفر	حفر	حفر
حلاوة	حلو	حلا	حلا
الصحفيين	صحف	صحف	صحف
ساجدان	سجد	سجد	سجد
القتالية	قتل	قتل	قتل
الإصابات	صيب	صيب	صيب
والوظائف	وظف	وظف	وظف
والمسؤولين	سءل	سأل	سأل
مفاوضات	فوض	فوض	فوض
مرحبا	رحب	رحب	رحب
احترازية	حرز	حرز	حرز
والسيطرة	سطر	سطر	سطر
زهور	زهر	زهر	زهر
وبيتكلموا	كلم	كلم	كلم
بالمنطقة	نطق	نطق	نطق
مؤلفاتهم	ءلف	ألف	ألف
والعاطفي	عطف	عطف	عطف
المحيطات	حوط	حوط	حوط
العباء	عبي	عبا	عبا
والمهنية	مهن	مهن	مهن
اشتريناه	شرى	شرى	شرى
الضحو	ضحي	ضحا	ضحا
والمدرسة	درس	درس	درس
العربتين	عرب	؟	؟
الموازنة	وزن	وزن	وزن
سيعيق	عوق	عاق	عاق
استحلفكن	حلف	حلف	حلف
والإعلام	علم	علم	علم
إمنعن	منع	منع	منع
مسائلات	سءل	سأل	سأل
شتاء	شتو	شتا	شتا
وسواس	وسوس	وسوس	وسوس
جامعة	جمع	جمع	جمع
عاملتين	عمل	عمل	عمل
المستخدم	خدم	خدم	خدم
مجاهدون	جهد	جهد	جهد
الندوة	ندو	ندا	ندا
امتحانات	محن	محن	محن
المسافر	سفر	سفر	سفر
بذريعة	ذرع	ذرع	ذرع
والعناوين	عنون	عنون	عنون
والموارد	ورد	ورد	ورد
أجساد	جسد	جسد	جسد
المعلومة	علم	علم	علم
ركعتي	ركع	ركع	ركع
والمختصين	خصّ	خصّ	خصّ
انتشارها	نشر	نشر	نشر
مباني	بنى	بنى	بنى
وقائع	وقع	وقع	وقع
غفرانهن	غفر	غفر	غفر
مذبحة	ذبح	ذبح	ذبح
موعظة	وعظ	وعظ	وعظ
مثله	مثل	مثل	مثل
اللغات	لغي	لغي	لغي
ذبيحة	ذبح	ذبح	ذبح
سماعة	سمع	سمع	سمع
بالتسجيل	سجل	سجل	سجل
ينص	نصص	نصص	نصص
والشركاء	شرك	شرك	شرك
والتشريعات	شرع	شرع	شرع
بالأضرار	ضرر	ضرر	ضرر
جاري	جري	جرا	جرا
جدول	جدل	جدل	جدل
إخوان	خون	خون	خون
الماليين	مول	مال	مال
طرق	طرق	طرق	طرق
وتأهيلهم	ءهل	أهل	أهل
تحرم	حرم	حرم	حرم
مدقق	دقق	دقق	دقق
الأرباح	ربح	ربح	ربح
والمسؤولية	سءل	سأل	سأل
ذروة	ذرو	ذرا	ذرا
أثمان	ثمن	ثمن	ثمن
اعلامي	علم	علم	علم
والمستمعان	سمع	سمع	سمع
مكسي	كسو	كسا	كسا
ترجعن	رجع	رجع	رجع
ومتابعتها	تبع	تبع	تبع
المسافران	سفر	سفر	سفر
أنصارهم	نصر	نصر	نصر
تصفية	صفي	صفي	صفي
القراصنة	قرصن	قرصن	قرصن
فافتتح	فتح	فتح	فتح
يخلعن	خلع	خلع	خلع
يفقدون	فقد	فقد	فقد
واستقبالها	قبل	قبل	قبل
أصوات	صوت	صوت	صوت
فوائد	فيد	فيد	فيد
معاشا	عيش	عاش	عاش
مملوء	ملء	ملأ	ملأ
ضفاف	ضفف	ضفف	ضفف
ملكن	ملك	ملك	ملك
تأمين	ءمن	أمن	أمن
وتتناولها	نول	ناول	ناول
مجاهدتين	جهد	جهد	جهد
ناغية	نغي	نغي	نغي
متفجرات	فجر	فجر	فجر
منقسمون	قسم	قسم	قسم
المدارس	درس	درس	درس
والمعروف	عرف	عرف	عرف
متركون	ترك	ترك	ترك
يجاهد	جهد	جهد	جهد
تذكرنهن	ذكر	ذكر	ذكر
وسيرتبطون	ربط	ربط	ربط
مستعملة	عمل	عمل	عمل
فيشترط	شرط	شرط	شرط
ميون	مين	مين	مين
يصبغ	صبغ	صبغ	صبغ
الأماني	مني	منا	منا
والمطلوبة	طلب	طلب	طلب
والأرياف	ريف	ريف	ريف
بالإستخدام	خدم	خدم	خدم
سيخلق	خلق	خلق	خلق
ترفرف	رفرف	رفرف	رفرف
موائد	ميد	اود	اود
وآرائهن	رءي	رأي	رأي
موالاة	مول	مول	مول
إذهبا	ذهب	ذهب	ذهب
سيخلعون	خلع	خلع	خلع
إنشغال	شغل	شغل	شغل
المرتحلات	رحل	رحل	رحل
إفتح	فتح	فتح	فتح
باستكشاف	كشف	كشف	كشف
الباحثين	بحث	بحث	بحث
والباحثان	بحث	بحث	بحث
تمجيد	مجد	مجد	مجد
تلاوين	لون	لون	لون
والمؤهلات	ءهل	أهل	أهل
الإعلام	علم	علم	علم
راقصين	رقص	رقص	رقص
واتاحتها	تيح	تاح	تاح
سيرجع	رجع	رجع	رجع
تحفرين	حفر	حفر	حفر
الصحابيان	صحب	صحب	صحب
المأهولة	ءهل	أهل	أهل
فيقبل	قبل	قبل	قبل
الموسوعة	وسع	وسع	وسع
والحاملة	حمل	حمل	حمل
الغواصات	غوص	غوص	غوص
سيحسن	حسن	حسن	حسن
والمراجعين	رجع	رجع	رجع
لتصريحات	صرح	صرح	صرح
الشراكة	شرك	شرك	شرك
والمساعدة	سعد	سعد	سعد
وتصممان	صمّ	صمّ	صمّ
الدنيئة	دنئ	دنئ	دنئ
استهلن	سهل	سهل	سهل
الاتحادي	وحد	وحد	وحد
منعكسة	عكس	عكس	عكس
موهوب	وهب	وهب	وهب
ومتطوّرة	طور	طور	طور
بالمملكة	ملك	ملك	ملك
وإدارتها	دور	دار	دار
مازع	مزع	مزع	مزع
توابل	تبل	تبل	تبل
تسبحن	سبح	سبح	سبح
والمرابطين	ربط	ربط	ربط
وسيم	وسم	وسم	وسم
مجالات	مجل	مجل	مجل
وتحظر	حظر	حظر	حظر
موجودات	وجد	وجد	وجد
الصحافية	صحف	صحف	صحف
والزيارات	زور	زار	زار
ذكريات	ذكر	ذكر	ذكر
البالغين	بلغ	بلغ	بلغ
أرائك	ءرك	راي	راي
أعرفوا	عرف	عرف	عرف
ممرات	مرر	مرر	مرر
فعاليتها	فعل	فعل	فعل
مسابقتين	سبق	سابق	سابق
الارصاد	رصد	رصد	رصد
تبلورهن	بلور	بلور	بلور
لغاتهم	لغة	لغة	لغة
والمسافرتان	سفر	سفر	سفر
الدوريات	دور	دور	دور
شيطان	شطن	شطن	شطن
يريدون	ريد	راد	راد
والبرنامج	برمج	؟	؟
متيقظ	يقظ	يقظ	يقظ
سيحمل	حمل	حمل	حمل
رابطين	ربط	ربط	ربط
مكيدة	كيد	كيد	كيد
اختراقية	خرق	خرق	خرق
والمتمثل	مثل	مثل	مثل
الساجدات	سجد	سجد	سجد
يتبدلن	بدل	بدل	بدل
