word	root	stem	lemma
مستوطنين	وطن	مستوطن	مستوطن
بالعاصمة	عصم	عاصم;عاصمة	عاصم;عاصمة
لتعطيلها	عطل	تعطيل	تعطيل
كتبن	كتب;تبن	كتب;تبن	كتب;تبن
بالفنادق	فندق	فنادق	فنادق
اليابسة	يبس	يابس	يابس
المستشار	شور	مستشار	مستشار
المخلوعة	خلع	مخلوع	مخلوع
التهابات	لهب	التهاب	التهاب
يعلم	علم	علم;أعلم	علم;أعلم
والمعروفة	عرف	معروف	معروف
حساء	حسو	حساء	حساء
والمحاسبة	حسب	محاسب;محاسبة	محاسب;محاسبة
ستقابلهم	قبل	قابل	قابل
سياسة	سوس	سياسة	سياسة
موعظة	وعظ	موعظة	موعظة
مستوطنات	وطن	مستوطن	مستوطن
للأصدقاء	صدق	أصدقاء	أصدقاء
العديدين	عدد	عديد	عديد
وتفاصيلها	فصل	تفاصيل	تفاصيل
أغذية	غذو	أغذية	أغذية
مزارع	زرع	مزارع	مزارع
متروكة	ترك	متروك	متروك
المساعي	سعي	مساعي	مساعي
سمعا	سمع	سمع	سمع
المطابقة	طبق	مطابقة;مطابق	مطابقة;مطابق
المسؤولة	سءل	مسؤول	مسؤول
مسؤول	سءل	مسؤول	مسؤول
تتدحرج	دحرج	تدحرج	تدحرج
معتدون	عدو	معتدي	معتدي
القاهرة	قهر	قاهر	قاهر
الاشتراك	شرك	اشتراك	اشتراك
اقتباسات	قبس	اقتباس	اقتباس
مهارة	مهر	مهارة;مهار	مهارة;مهار
تتلمذ	تلمذ	تتلمذ;تلمذ	تتلمذ;تلمذ
تأمين	ءمن	تأمين	تأمين
تسوية	سوي	تسوية	تسوية
بالأعوام	عوم	أعوام	أعوام
حصاة	حصي	حصاة	حصاة
فتحرم	حرم	حرم;أحرم	حرم;أحرم
ناغية	نغي	ناغى	ناغى
الموهومة	وهم	موهوم	موهوم
نتائج	نتج	نتائج	نتائج
محرومة	حرم	محروم	محروم
تعرقل	عرقل	تعرقل;عرقل	تعرقل;عرقل
ستارة	ستر	ستارة;ستار	ستارة;ستار
زاهية	زهي	زاهي	زاهي
منشغلان	شغل	منشغل	منشغل
مجاهدون	جهد	مجاهد	مجاهد
والمنشغل	شغل	منشغل	منشغل
المسافرة	سفر	مسافر	مسافر
خدماتهما	خدم	خدمة	خدمة
بركان	بركن	بركان	بركان
