word	root	stem	lemma
أأتخذ	ءخذ	اتخذ	اتخذ
أإذا		إذا	إذا
أأرباب	ربب	أرباب	أرباب
أأسجد	سجد	سجد	سجد
أأسلمتم	سلم	أسلم	أسلم
أأشفقتم	شفق	أشفق	أشفق
أأشكر	شكر	شكر	شكر
أأعجمي	عجم	أعجمي	أعجمي
أأقررتم	قرر	أقر	أقر
أألد	ولد	ولد	ولد
أألقي	لقي;ءلق	ألقى;ألق	ألقى;ألق
أإله	ءله	إله	إله
أآلهتنا	ءله	آلهة	آلهة
أأمنتم	ءمن	أمن	أمن
أإنا		إنا	إنا
أأنت		أنت	أنت
أأنتم		أنتم	أنتم
أأنذرتهم	نذر	أنذر	أنذر
أأنزل	نزل	أنزل	أنزل
أإنك		إن	إن
آباء	ءبو	آباء	آباء
أبا	ءبو	أب;أبا	أب;أبا
آباءكم	ءبو	آباء	آباء
آباءنا	ءبو	آباء	آباء
آباءهم	ءبو	آباء	آباء
أبابيل	ءبابيل	أبابيل	أبابيل
أباكم	ءبي;ءبو	أبى;أبا	أبى;أبا
أبالله	الله	الله	الله
أبانا	ءبي;بان;ءبو;بين	بان;أبى;أب;أبان;أبا	بان;أبى;أب;أبان;أبا
أباه	ءبي;ءبو	أبى;أبا	أبى;أبا
أباهم	ءبي;ءبو	أبى;أبا	أبى;أبا
آباؤكم	ءبو	آباء	آباء
آباؤنا	ءبو	آباء	آباء
آباؤهم	ءبو	آباء	آباء
آبائك	ءبو	آباء	آباء
آبائكم	ءبو	آباء	آباء
آبائنا	ءبو	آباء	آباء
آبائهم	ءبو	آباء	آباء
آبائهن	ءبو	آباء	آباء
آبائي	ءبو	آباء	آباء
أبت	ءبي;ءبو	أبى;أبا	أبى;أبا
ابتدعوها	بدع	ابتدع	ابتدع
ابتغاء	بغي	ابتغاء	ابتغاء
ابتغوا	بغي	ابتغى	ابتغى
أبتغي	بغي	ابتغى	ابتغى
ابتغى	بغي	ابتغى	ابتغى
ابتغيت	بغي	ابتغى	ابتغى
ابتلاه	بلي	ابتلى	ابتلى
ابتلي	بتل;بلي	بتل;ابتلى	بتل;ابتلى
ابتلى	بلي	ابتلى	ابتلى
أبحر	بحر	أبحر	أبحر
أبدا	ءبد	أبد;أبدا	أبد;أبدا
أبدله	بدل	بدل	بدل
إبراهيم	ءبرهيم	إبراهيم	إبراهيم
أبرح	برح;برخ	برح;أبرح	برح;أبرح
أبرموا	برم	أبرم	أبرم
أبرئ	برء	برأ	برأ
أبسلوا	بسل	أبسل	أبسل
أبشرا	بشر	بشر	بشر
أبشر	بشر	بشر	بشر
أبشرتموني	بشر	بشر	بشر
أبصار	بصر	أبصار	أبصار
أبصاركم	بصر	أبصار	أبصار
أبصارنا	بصر	أبصار	أبصار
أبصارها	بصر	أبصار	أبصار
أبصارهم	بصر	أبصار	أبصار
أبصارهن	بصر	أبصار	أبصار
أبصر	بصر	بصر;أبصر	بصر;أبصر
أبصرنا	بصر	أبصر	أبصر
أبعث	بعث	بعث	بعث
ابعث	بعث	بعث	بعث
أبغي	بغي	بغى;أبغى	بغى;أبغى
أبغيكم	بغي	بغى;أبغى	بغى;أبغى
أبق	ءبق	أبق	أبق
أبقى	بقي	أبقى;بقي	أبقى;بقي
أبكارا	بكر	أبكار	أبكار
أبكم	بكم	أبكم;بكم	أبكم;بكم
ابلعي	بلع	بلع	بلع
أبلغ	بلغ	بلغ	بلغ
أبلغتكم	بلغ	أبلغ	أبلغ
أبلغكم	بلغ	بلغ	بلغ
أبلغه	بلغ	أبلغ	أبلغ
أبلغوا	بلغ	أبلغ	أبلغ
إبليس	ءبليس	إبليس	إبليس
أبناء	ابن	أبناء	أبناء
أبناءكم	ابن	أبناء	أبناء
أبناءنا	ابن	أبناء	أبناء
أبناءهم	ابن	أبناء	أبناء
ابن	ابن;بني	بنى;ابن	بنى;ابن
أبنائكم	ابن	أبناء	أبناء
أبنائهن	ابن	أبناء	أبناء
ابنت	بنو	ابنة	ابنة
ابنتي	بني	ابنة	ابنة
ابنك	ابن	ابن	ابن
ابنه	ابن	ابن	ابن
ابنوا	بني	بنى	بنى
ابني	ابن;بني;ابنة	بنى;ابن;ابنة	بنى;ابن;ابنة
أبوابا	بوب	أبواب	أبواب
أبواب	بوب	أبواب	أبواب
أبوابها	بوب	أبواب	أبواب
أبواه	ءبو	أبا	أبا
أبوك		أبو	أبو
أبوهما		أبو	أبو
أبوهم		أبو	أبو
أبويك	ءبو	أب	أب
أبويكم	ءبو	أب	أب
أبويه	ءبو	أبوان	أبوان
أبي	ءبو	بي;أبي;أب	بي;أبي;أب
أبى	ءبي	أبى	أبى
ابيضت	بيض	ابيض	ابيض
أبيكم		أبي	أبي
أبينا	بين	أبي;أبان	أبي;أبان
أبيهم	ءبو	أب	أب
أتأتون	ءتو;ءتي	أتى;أتا	أتى;أتا
أتأخذونه	ءخذ	أخذ	أخذ
