word	root	stem	lemma
عليكم	وعل;علل;علي;علو;على	علي	عُلِيّ;عَلَي;عَلِيَ;عَلِيٍّ;عِلِيّ;عِلْي;علِيَ;عَلِّي;عِلِي;عِلِّي;عَلِيّ;عَلْي;عَلِي
بالجد	جدد	جد	جَدِّ;جُدِّ;جِدِّ
فإنه	ءنن;إن;نهي	إن;إنه	إنْ;إِنَّ;إِنْ
أساس	ءسس;سوس;سيس	ساس;أساس	أَسَّاس;سَاسَ;أَسَاسُ;أَسَاسَ
النجاح	نجح;جوح;جيح	نجاح	نَجَّاح;نَجَاح;نَجاح;نجاح
ألقى	لقي; لقو	لقى;ألقى	ألقى;لَقَّى;أُلْقَى;أَلْقَى;لَقَى;لقَّى;لُقًى
العالم	علم	عالم	عالِم;عَالَم;عَالِم
محاضرته	حضر	محاضرة	مُحَاضَرَة;مُحَاضِرَة
في	وفي;في	في	فِي;في
الوقت	وقت	وقت	وَقْت
المحدد	حدد	محدد	مُحَدِّد;مُحَدَّد
وكالخاشعة	خشع	خاشعة	خَاشِعَة
أبصارهم	صرر;بصر;صير	صار;أبصار;بصار	صَارِّ;بَصار;بِصَار;أَبْصَار;صَارَ
يترقبون	رقب	يترقبون	ترقب
أوبالكتاب	كتب	كتاب	كَتَّاب;كِتَاب;كُتَّاب
تستأنس	ءنس	تستأنس	استأنس
أم	ءم;ءمم	أم	أَمَّ;أَمْ;أُمُّ;أُمَّ
بالموسيقى	موسيقى	موسيقى	مُوسِيقَى
أفتطمعون	طمع	تطمعون	طمع
أن	ءنن;ءن	أن	أُن;أَنَّ;أُنَّ;أنَّ;أَنْ
يؤمنوا	ءمن	يؤمنوا	آمن
لكم	كمم;لكم;كوم;كم	لكم;كم	لُكِمَ;كَمْ;كَمَّ;لَكْم;لُكَمٌ;كُمَّ;لَكَمَ;كِمّ;كُمٌّ
وسأستغفر	غفر	أستغفر	استغفر
