word	root	stem	lemma
أ	أ	أ	أ
ا	ا	ا	ا
آباء	أب	أب	أب
إبادة	إبادة	إبادة	إبادة
أبادوهم	أباد	أباد	أباد
آبارك	بئر	بئر	بئر
أبالغ	بالغ	بالغ	بالغ
إبان	إبان	إبان	إبان
أبت	أب	أب	أب
ابتداءا	ابتداء	ابتداء	ابتداء
أبتدئها	ابتدأ	ابتدأ	ابتدأ
أبحار	بحر	بحر	بحر
ابحثوا	بحث	بحث	بحث
أبدا	أبد	أبد	أبد
أبد	أبد	أبد	أبد
إبداؤها	إبداء	إبداء	إبداء
أبرأن	أبرأ	أبرأ	أبرأ
أبرزاني	أبرز	أبرز	أبرز
أبريل	أبريل	أبريل	أبريل
أبسط	أبسط	أبسط	أبسط
أبشرك	أبشر	أبشر	أبشر
أبشع	أبشع	أبشع	أبشع
أبطال	بطل	بطل	بطل
أبطالنا	بطل	بطل	بطل
أبعاد	بعد	بعد	بعد
أبعد	أبعد	أبعد	أبعد
أبعدت	أبعد	أبعد	أبعد
أبقاه	أبقى	أبقى	أبقى
إبلاغ	إبلاغ	إبلاغ	إبلاغ
إبليس	إبليس	إبليس	إبليس
أبناء	ابن	ابن	ابن
أبناءها	ابن	ابن	ابن
ابن	ابن	ابن	ابن
ابناكم	ابن	ابن	ابن
ابناها	ابن	ابن	ابن
أبناؤه	ابن	ابن	ابن
أبنائنا	ابن	ابن	ابن
أبنائها	ابن	ابن	ابن
أبنائه	ابن	ابن	ابن
أبنائهم	ابن	ابن	ابن
ابنه	ابن	ابن	ابن
أبوا	أبى	أبى	أبى
أبواب	باب	باب	باب
أبوابها	باب	باب	باب
أبو	أبو	أبو	أبو
أبواقا	بوق	بوق	بوق
أبواق	بوق	بوق	بوق
أبوح	باح	باح	باح
أبومازن	أبومازن	أبومازن	أبومازن
أبي	أب	أب	أب
أبي	أبي	أبي	أبي
أبيب	أبيب	أبيب	أبيب
آبية	آبي	آبي	آبي
أبية	أبي	أبي	أبي
أبيت	أبى	أبى	أبى
أبيض	أبيض	أبيض	أبيض
آبين	آبي	آبي	آبي
آت	آتي	آتي	آتي
أتاح	أتاح	أتاح	أتاح
اتباع	اتباع	اتباع	اتباع
أتباع	تبع	تبع	تبع
اتباعه	اتباع	اتباع	اتباع
أتبع	أتبع	أتبع	أتبع
اتبع	اتبع	اتبع	اتبع
أتبعنا	أتبع	أتبع	أتبع
أتت	أتى	أتى	أتى
اتجار	اتجار	اتجار	اتجار
اتجاه	اتجاه	اتجاه	اتجاه
اتحاد	اتحاد	اتحاد	اتحاد
أتحدى	تحدى	تحدى	تحدى
اتخاذ	اتخاذ	اتخاذ	اتخاذ
اتخذه	اتخذ	اتخذ	اتخذ
أتخيل	تخيل	تخيل	تخيل
أتراك	تركي	تركي	تركي
أترك	ترك	ترك	ترك
اتركوا	ترك	ترك	ترك
اتصف	اتصف	اتصف	اتصف
أتصور	تصور	تصور	تصور
اتعظ	اتعظ	اتعظ	اتعظ
أتفق	اتفق	اتفق	اتفق
اتفق	اتفق	اتفق	اتفق
اتفقوا	اتفق	اتفق	اتفق
اتقوا	اتقى	اتقى	اتقى
أتقو	تقوى	تقوى	تقوى
أتقي	اتقى	اتقى	اتقى
اتقى	اتقى	اتقى	اتقى
أتم	أتم	أتم	أتم
أتمنى	تمنى	تمنى	تمنى
اتهام	اتهام	اتهام	اتهام
اتهم	اتهم	اتهم	اتهم
اتهمهم	اتهم	اتهم	اتهم
آتو	آتي	آتي	آتي
أتوقع	توقع	توقع	توقع
أتى	أتى	أتى	أتى
آتية	آتي	آتي	آتي
أتيحت	أتاح	أتاح	أتاح
أثارة	أثارة	أثارة	أثارة
