الكلمة الأصلية	الجذر	المصدر	النوع
التي	التي	التي	أداة
والتي	الذي	التي	أداة
كالتي	الذي	التي	أداة
واللذان	الذي	اللذان	أداة
الذي	الذي	الذي	أداة
بالذي	الذي	الذي	أداة
والذي	الذي	الذي	أداة
وبالذي	الذي	الذي	أداة
كالذي	الذي	الذي	أداة
للذي	الذي	الذي	أداة
للتي	الذي	التي	أداة
اللائي	الذي	اللائي	أداة
بالتي	الذي	التي	أداة
كما	الذي	كما	أداة
للذين	الذين	الذين	أداة
الذين	الذين	الذين	أداة
بالذين	الذين	الذين	أداة
فالذين	الذين	الذين	أداة
والذين	الذين	الذين	أداة
كالذين	الذين	الذين	أداة
الر	الر	الر	فواتيح
لله	الله	الله	اسم
آلله	الله	الله	اسم
أبالله	الله	الله	اسم
الله	الله	الله	اسم
اللهم	الله	الله	اسم
بالله	الله	الله	اسم
فلله	الله	الله	اسم
فالله	الله	الله	اسم
ولله	الله	الله	اسم
والله	الله	الله	اسم
وتالله	الله	الله	اسم
الم	الم	الم	فواتيح
المر	المر	المر	فواتيح
واليسع	اليسع	اليسع	اسم
لآدم	آدم	آدم	اسم
آدم	آدم	آدم	اسم
آزر	آزر	آزر	اسم
أبدا	ءبد	أبد	اسم
أبق	ءبق	أبق	فعل
أبابيل	ءبل	أبابيل	اسم
لآبائهم	ءبو	أب	اسم
لأبيه	ءبو	أب	اسم
آباء	ءبو	أب	اسم
آباءي	ءبو	أب	اسم
آباءهم	ءبو	أب	اسم
آباءنا	ءبو	أب	اسم
آباءكم	ءبو	أب	اسم
آباؤهم	ءبو	أب	اسم
آبائهن	ءبو	أب	اسم
آباؤنا	ءبو	أب	اسم
آبائك	ءبو	أب	اسم
آباؤكم	ءبو	أب	اسم
أبويك	ءبو	أب	اسم
أبوهما	ءبو	أب	اسم
آباؤنا	ءبو	أب	اسم
بآبائنا	ءبو	أب	اسم
وآباءهم	ءبو	أب	اسم
وآباؤنا	ءبو	أب	اسم
وآباؤكم	ءبو	أب	اسم
أباه	ءبو	أب	اسم
