word	root	lemma	stem
ءاذنتكم	ءذن	ءاذن	ءاذن
ءاذناك	ءذن	ءاذن	ءاذ
الءازفة	ءزف	ءازفة	ءازفة
الءازفة	ءزف	ءازفة	ءازفة
ءاسفونا	ءسف	ءاسف	ءاسف
ءاسن	ءسن	ءاسن	ءاسن
الءافلين	ءفل	آفل	ءافلين
للءاكلين	ءكل	آكل	ءاكلين
لءاكلون	ءكل	آكل	ءاكلون
ءال	ءول	ءال	ءال
ءال	ءول	ءال	ءال
ءال	ءول	ءال	ءال
وءال	ءول	ءال	ءال
وءال	ءول	ءال	ءال
بال	ءول	ءال	ال
ءالاء	ءلو	ءالاء	ءالاء
ءالاء	ءلو	ءالاء	ءالاء
الءامرون	ءمر	آمر	ءامرون
يؤمنون	ءمن	ءامن	يؤمن
ءامنا	ءمن	ءامن	ءام
ءامنوا	ءمن	ءامن	ءامن
ءامنوا	ءمن	ءامن	ءامن
ءامن	ءمن	ءامن	ءامن
أنؤمن	ءمن	ءامن	نؤمن
وءامنوا	ءمن	ءامن	ءامن
نؤمن	ءمن	ءامن	نؤمن
يؤمنوا	ءمن	ءامن	يؤمن
أفتؤمنون	ءمن	ءامن	تؤمن
نؤمن	ءمن	ءامن	نؤمن
ءامنا	ءمن	ءامن	ءامنا
ءامنتم	ءمن	ءامن	ءامن
وليؤمنوا	ءمن	ءامن	يؤمن
يؤمن	ءمن	ءامن	يؤم
يؤمن	ءمن	ءامن	يؤمن
ويؤمن	ءمن	ءامن	يؤمن
تؤمن	ءمن	ءامن	تؤمن
تؤمنوا	ءمن	ءامن	تؤمن
لتؤمنن	ءمن	ءامن	تؤمن
وتؤمنون	ءمن	ءامن	تؤمن
فامنوا	ءمن	ءامن	امن
نؤمن	ءمن	ءامن	نؤمن
فامنا	ءمن	ءامن	ام
تؤمنون	ءمن	ءامن	تؤمن
وءامنتم	ءمن	ءامن	ءامن
ليؤمنن	ءمن	ءامن	يؤمن
وءامنتم	ءمن	ءامن	ءامن
وءامنوا	ءمن	ءامن	ءامن
ليؤمنن	ءمن	ءامن	يؤمن
ليؤمنوا	ءمن	ءامن	يؤمن
ءامنت	ءمن	ءامن	ءامنت
لنؤمنن	ءمن	ءامن	نؤمن
وءامنوا	ءمن	ءامن	ءامن
