word	root	lemma
وبساكنيها	سكن	ساكن
وسواكنها	سكن	ساكن
وبسواكنها	سكن	ساكن
وتسكنين	سكن	سكن
وبوالدهما	ولد	والد
وبوالدهن	ولد	والد
والده	ولد	والد
وبالوالدين	ولد	والد
فالوالدين	ولد	والد
فوالدهما	ولد	والد
والدة	ولد	والد
والده	ولد	والد
والدتي	ولد	والد
فبالوالدين	ولد	والد
والد	ولد	والد
والدنا	ولد	والد
والدهم	ولد	والد
ولوالدكما	ولد	والد
ولوالدتكم	ولد	والد
ولوالدتكما	ولد	والد
فلوالدكم	ولد	والد
فلوالدتكم	ولد	والد
والدين	ولد	والد
والدة	ولد	والد
والده	ولد	والد
والدينك	ولد	والد
ويستنفرهم	نفر	استنفر
ويستعملهم	عمل	استعمل
ويستقدمهم	قدم	استقدم
ويستهينهم	هين	استهان
ويستغلهم	غلل	استغل	
ويستعلمهم	علم	استعلم
ويستفزهم	فزز	استفز
يطعهم	طوع	أطاع
يستملهم	ميل	استمال
ويطعهم	طوع	أطاع
ويستملهم	ميل	استمال
وبسواعدهما	سعد	سواعد
وبسواكنها	سكن	سكن
بسواعديهما	سعد	سواعد
وبعقولهما	عقل	عقول
وبعواقلهما	عقل	عواقل
وبقلوبهما 	قلب	قلوب
وبقوالبهما	قلب	قوالب
وبنواظمهما	نظم	نواظم
وبقوافيها 	قفي	قوافي
وبسواقيهما	سقي	سواقي
بأبأ	بءبء
يسعى	سعي
يريدون	ريد
يستطعن	طوع
كتاب	كتب
بالميدان	ميد
بالأسيهم	سهم
آخرين	ءخر
بالأخرة	ءخر
ويرمي	رمي
ويرمي	رمي
يرمون	رمي
راميات	رمي
وترمون	رمي
ويرمين	رمي
وترميان	رمي
ورامون	رمي
وليرميان	رمي
لترميان	رمي
لترمين	رمي
رامي	رمي
ورامي	رمي
رماية	رمي
رمايه	رمي
الراميات	رمي
المرميات	رمي
المتراميات	رمي
مترامية	رمي
مترامي	رمي
الرامون	رمي
والراميات	رمي
وسيقولون	قول
وسيقال	قول
وسيقيلوهم	قول
وتقال	قول
وتقولوا	قول
وتقول	قول
ومقاول	قول
وقالوا	قول
ومقال	قول
وتقل	قول
وتقلن	قول
وليقل	قول
ولتقلنا	قول
لتقل	قول
تقل	قول
ونقل	قول
ولنقل	قول
فتقل	قول
ستقل	قول
ستقلن	قول
وستقلن	قول
فستقل	قول
وقالوا	قول
قالوا	قول
وقالا	قول
قالا	قول
وقالت	قول
قالت	قول
ويقال	قول
يقال	قول
وسيقال	قول
سيقال	قول
ويقلن	قول
يقلن	قول
ويقلنا	قول
يقلنا	قول
وتقال	قول
تقال	قول
وقال	قول
قال	قول
وسأقول	قول
سأقول	قول
وقائل	قول
قائل	قول
وقائلان	قول
قائلان	قول
وقائلون	قول
قائلون	قول
وقائلا	قول
قائلا	قول
ومقال	قول
مقال	قول
وقائلتان	قول
قائلتان	قول
يعد	وعد
تعد	عدد
نعدهم	عدد
وتعدهم	وعد
تعدهم	وعد
وستعدهم	وعد
ستعدهم	وعد
وتعدهما	وعد
تعدهما	وعد
ويعدهم	وعد
يعدهم	وعد
ويعدهما	وعد
يعدهما	وعد
وسيعدهم	وعد
سيعدهم	وعد
وسيعدهما	وعد
سيعدهما	وعد
ولنعدهم	وعد
لنعدهم	وعد
ولنعدهما	وعد
لنعدهما	وعد
ولتعدهم	وعد
لتعدهم	وعد
ولتعدهما	وعد;عدد;عدو
لتعدهما	وعد;عدد;عدو
ولتعدها	وعد;عدد;عدو
لتعدها	وعد;عدد;عدو
وستعدها	وعد;عدد;عدو
ستعدها	وعد;عدد;عدو
ووعدها	وعد
وعدها	وعد;عدد
ووعدهم	وعد
وعدهم	وعد;عدد
ووعدهما	وعد
وعدهما	وعد;عدد;عدو
وتعد	وعد;عدد;عدو
تعد	وعد;عدد;عدو
وتعدني	وعد;عدد;عدو
تعدني	وعد;عدد;عدو
وتعدنا	وعد;عدد;عدو
تعدنا	وعد;عدد;عدو
وتعده	وعد;عدد;عدو
تعده	وعد;عدد;عدو
وواعدناهم	وعد
واعدناهم	وعد
ووعدناهم	وعد
وعدناهم	وعد
وتعدوهم	وعد;عدد;عدو
تعدوهم	وعد;عدد;عدو
يعتاد	عود
أحست	حسس
يحسون	حسس;حسو
ثقة	وثق
ثقات	وثق
بثقات	وثق
صفات	وصف
صلاته	وصل
الخيرات	خير
ميثاق	وثق
ميزان	وزن
مواثيق	وثق
ميقات	وقت
ميقاتية	وقت
ارتاب	ريب
يستمع	سمع
اضطرب	ضرب
معدود	عدد
رميت	رمي
رمت	رمي;روم;رمم
وارمهم	رمي
وسأرميهما	رمي
وارمهم	رمي
وسترمهم	رمي;روم;رمم
ولنرمهم	رمي;روم;رمم
ولنرمهما	رمي;روم;رمم
فارمهم	رمي
ولترمهم	رمي;روم;رمم
رمته	رمي;روم;رمم
رماه	رمي
ارمه	رمي
رمتهم	رمي
رمتهما	رمي
رمايات	رمي
رام	روم
ارمهما	رمي
ارمهم	رمي
رمتهما	رمي
رمتهم	رمي
رمت	رمي;رمم;روم
فرمت	رمي;فرم;روم;رمم
فرمته	رمي;فرم;روم;رمم
لنرمه	رمي;روم;رمم
لترمه	رمي;روم;رمم
لرمته	رمي;روم;رمم
لرمتهم	رمي;روم;رمم
فقالوا	قول;قيل
ستقال	قول
فقالا	قول;قيل
أفتضاربانني	ضرب
ويستعملونها	عمل
رذاذ	رذذ
استردد	ردد
قراريط	قرط
قرارط	قرط
